iter	Precision	Logloss
0	0.7146666667	0.6727374966
1	0.7526462396	0.6554658242
2	0.7943625881	0.6396846562
3	0.8119601329	0.6281321017
4	0.8117883456	0.6171999005
5	0.7988650694	0.6074001023
6	0.809706258	0.5988930442
7	0.8115015974	0.5923432183
8	0.8163659794	0.5866664601
9	0.8113448056	0.5835013218
10	0.8097964377	0.5800266303
11	0.8058494088	0.5757359232
12	0.8037267081	0.5730387588
13	0.8006042296	0.5689645122
14	0.7971614429	0.5663451278
15	0.8011940299	0.5640221053
16	0.7958236659	0.5613563789
17	0.8008036739	0.5591008978
18	0.8014959724	0.5578522273
19	0.8023121387	0.556424742
20	0.8049912943	0.5543796986
21	0.8074679113	0.5534204127
22	0.8058479532	0.5520718763
23	0.8063010502	0.5510086244
24	0.8060220035	0.5499238805
25	0.8055716773	0.5495078734
26	0.8086956522	0.5478479747
27	0.8090539756	0.5472075495
28	0.8114086147	0.5466330083
29	0.8100461894	0.5459497675
30	0.808806489	0.5455052301
31	0.8099364529	0.5451428696
32	0.8089758343	0.5440539572
33	0.8092783505	0.5430905743
34	0.8085470085	0.5426194894
35	0.8073863636	0.5415807937
36	0.8058856819	0.540511738
37	0.8058856819	0.5401986493
38	0.8097395243	0.5390570567
39	0.8085827216	0.5387570548
40	0.8073033708	0.5384236096
41	0.807606264	0.5376503406
42	0.8060200669	0.5374003644
43	0.8071348941	0.5369868672
44	0.8062187674	0.5363599022
45	0.8075429839	0.5353234888
46	0.8043117745	0.5350767003
47	0.8040838852	0.5349499884
48	0.8069498069	0.5342309694
49	0.8081587652	0.5336204596
50	0.8072887907	0.5332490414
51	0.8069498069	0.5326885649
52	0.8073951435	0.5320664087
53	0.8084988962	0.5313306452
54	0.806010929	0.5307716448
55	0.8064516129	0.530756733
56	0.806116876	0.5302889575
57	0.8064516129	0.5301195653
58	0.806892779	0.5296145545
