iter	Passed	Remaining
0	7	3777
1	12	3026
2	16	2745
3	22	2839
4	27	2739
5	30	2545
6	33	2386
7	36	2264
8	39	2177
9	44	2179
10	48	2148
11	51	2086
12	55	2078
13	59	2073
14	64	2076
15	67	2030
16	70	1994
17	73	1977
18	78	1986
19	81	1963
20	84	1932
21	87	1902
22	91	1894
23	94	1868
24	97	1848
25	100	1834
26	104	1825
27	108	1820
28	111	1803
29	114	1791
30	118	1789
31	122	1787
32	125	1774
33	128	1765
34	131	1752
35	134	1737
36	138	1733
37	142	1729
38	145	1718
39	148	1704
40	151	1693
41	154	1689
42	157	1674
43	161	1669
44	164	1659
45	167	1657
46	171	1649
47	174	1638
48	177	1631
49	180	1628
50	184	1626
51	187	1617
52	191	1615
53	194	1606
54	198	1605
55	201	1600
56	205	1596
